EVENT,DATE
廿六,2019-01-01
廿七,2019-01-02
廿八,2019-01-03
廿九,2019-01-04
小寒,2019-01-05
戊戌[狗]\\腊月,2019-01-06
初二,2019-01-07
初三,2019-01-08
初四,2019-01-09
初五,2019-01-10
初六,2019-01-11
初七,2019-01-12
腊八,2019-01-13
初九,2019-01-14
初十,2019-01-15
十一,2019-01-16
十二,2019-01-17
十三,2019-01-18
十四,2019-01-19
大寒,2019-01-20
十六,2019-01-21
十七,2019-01-22
十八,2019-01-23
十九,2019-01-24
二十,2019-01-25
廿一,2019-01-26
廿二,2019-01-27
廿三,2019-01-28
廿四,2019-01-29
廿五,2019-01-30
廿六,2019-01-31
廿七,2019-02-01
廿八,2019-02-02
廿九,2019-02-03
除夕 立春,2019-02-04
己亥[猪]\\正月 春节,2019-02-05
初二,2019-02-06
初三,2019-02-07
初四,2019-02-08
初五,2019-02-09
初六,2019-02-10
初七,2019-02-11
初八,2019-02-12
初九,2019-02-13
初十,2019-02-14
十一,2019-02-15
十二,2019-02-16
十三,2019-02-17
十四,2019-02-18
元宵 雨水,2019-02-19
十六,2019-02-20
十七,2019-02-21
十八,2019-02-22
十九,2019-02-23
二十,2019-02-24
廿一,2019-02-25
廿二,2019-02-26
廿三,2019-02-27
廿四,2019-02-28
廿五,2019-03-01
廿六,2019-03-02
廿七,2019-03-03
廿八,2019-03-04
廿九,2019-03-05
惊蛰,2019-03-06
己亥[猪]\\二月,2019-03-07
初二,2019-03-08
初三,2019-03-09
初四,2019-03-10
初五,2019-03-11
初六,2019-03-12
初七,2019-03-13
初八,2019-03-14
初九,2019-03-15
初十,2019-03-16
十一,2019-03-17
十二,2019-03-18
十三,2019-03-19
十四,2019-03-20
春分,2019-03-21
十六,2019-03-22
十七,2019-03-23
十八,2019-03-24
十九,2019-03-25
二十,2019-03-26
廿一,2019-03-27
廿二,2019-03-28
廿三,2019-03-29
廿四,2019-03-30
廿五,2019-03-31
廿六,2019-04-01
廿七,2019-04-02
廿八,2019-04-03
寒食,2019-04-04
己亥[猪]\\三月 清明,2019-04-05
初二,2019-04-06
初三,2019-04-07
初四,2019-04-08
初五,2019-04-09
初六,2019-04-10
初七,2019-04-11
初八,2019-04-12
初九,2019-04-13
初十,2019-04-14
十一,2019-04-15
十二,2019-04-16
十三,2019-04-17
十四,2019-04-18
十五,2019-04-19
谷雨,2019-04-20
十七,2019-04-21
十八,2019-04-22
十九,2019-04-23
二十,2019-04-24
廿一,2019-04-25
廿二,2019-04-26
廿三,2019-04-27
廿四,2019-04-28
廿五,2019-04-29
廿六,2019-04-30
廿七,2019-05-01
廿八,2019-05-02
廿九,2019-05-03
三十,2019-05-04
己亥[猪]\\四月,2019-05-05
立夏,2019-05-06
初三,2019-05-07
初四,2019-05-08
初五,2019-05-09
初六,2019-05-10
初七,2019-05-11
初八,2019-05-12
初九,2019-05-13
初十,2019-05-14
十一,2019-05-15
十二,2019-05-16
十三,2019-05-17
十四,2019-05-18
十五,2019-05-19
十六,2019-05-20
小满,2019-05-21
十八,2019-05-22
十九,2019-05-23
二十,2019-05-24
廿一,2019-05-25
廿二,2019-05-26
廿三,2019-05-27
廿四,2019-05-28
廿五,2019-05-29
廿六,2019-05-30
廿七,2019-05-31
廿八,2019-06-01
廿九,2019-06-02
己亥[猪]\\五月,2019-06-03
初二,2019-06-04
初三,2019-06-05
芒种,2019-06-06
端午,2019-06-07
初六,2019-06-08
初七,2019-06-09
初八,2019-06-10
